,Country,Region,Var,Year,Value
154,Afghanistan,South Asia,Freedom to make life choices,2021,0.382
155,Albania,Central and Eastern Europe,Freedom to make life choices,2021,0.785
156,Algeria,Middle East and North Africa,Freedom to make life choices,2021,0.48
157,Argentina,Latin America and Caribbean,Freedom to make life choices,2021,0.828
158,Armenia,Commonwealth of Independent States,Freedom to make life choices,2021,0.825
159,Australia,North America and ANZ,Freedom to make life choices,2021,0.914
160,Austria,Western Europe,Freedom to make life choices,2021,0.908
161,Azerbaijan,Commonwealth of Independent States,Freedom to make life choices,2021,0.814
162,Bahrain,Middle East and North Africa,Freedom to make life choices,2021,0.925
163,Bangladesh,South Asia,Freedom to make life choices,2021,0.877
164,Belarus,Commonwealth of Independent States,Freedom to make life choices,2021,0.65
165,Belgium,Western Europe,Freedom to make life choices,2021,0.783
166,Benin,Sub-Saharan Africa,Freedom to make life choices,2021,0.757
167,Bolivia,Latin America and Caribbean,Freedom to make life choices,2021,0.875
168,Bosnia and Herzegovina,Central and Eastern Europe,Freedom to make life choices,2021,0.706
169,Botswana,Sub-Saharan Africa,Freedom to make life choices,2021,0.824
170,Brazil,Latin America and Caribbean,Freedom to make life choices,2021,0.804
171,Bulgaria,Central and Eastern Europe,Freedom to make life choices,2021,0.788
172,Burkina Faso,Sub-Saharan Africa,Freedom to make life choices,2021,0.695
173,Burundi,Sub-Saharan Africa,Freedom to make life choices,2021,0.626
174,Cambodia,Southeast Asia,Freedom to make life choices,2021,0.959
175,Cameroon,Sub-Saharan Africa,Freedom to make life choices,2021,0.731
176,Canada,North America and ANZ,Freedom to make life choices,2021,0.915
177,Central African Republic,Sub-Saharan Africa,Freedom to make life choices,2021,
178,Chad,Sub-Saharan Africa,Freedom to make life choices,2021,0.579
179,Chile,Latin America and Caribbean,Freedom to make life choices,2021,0.742
180,China,East Asia,Freedom to make life choices,2021,0.904
181,Colombia,Latin America and Caribbean,Freedom to make life choices,2021,0.837
182,Comoros,Sub-Saharan Africa,Freedom to make life choices,2021,0.548
183,Congo (Brazzaville),Sub-Saharan Africa,Freedom to make life choices,2021,0.695
184,Congo (Kinshasa),Sub-Saharan Africa,Freedom to make life choices,2021,
185,Costa Rica,Latin America and Caribbean,Freedom to make life choices,2021,0.934
186,Croatia,Central and Eastern Europe,Freedom to make life choices,2021,0.754
187,Cyprus,Western Europe,Freedom to make life choices,2021,0.763
188,Czech Republic,Central and Eastern Europe,Freedom to make life choices,2021,0.858
189,Denmark,Western Europe,Freedom to make life choices,2021,0.946
190,Dominican Republic,Latin America and Caribbean,Freedom to make life choices,2021,0.86
191,Ecuador,Latin America and Caribbean,Freedom to make life choices,2021,0.842
192,Egypt,Middle East and North Africa,Freedom to make life choices,2021,0.749
193,El Salvador,Latin America and Caribbean,Freedom to make life choices,2021,0.888
194,Estonia,Central and Eastern Europe,Freedom to make life choices,2021,0.909
195,Ethiopia,Sub-Saharan Africa,Freedom to make life choices,2021,0.752
196,Finland,Western Europe,Freedom to make life choices,2021,0.949
197,France,Western Europe,Freedom to make life choices,2021,0.822
198,Gabon,Sub-Saharan Africa,Freedom to make life choices,2021,0.731
199,Gambia,Sub-Saharan Africa,Freedom to make life choices,2021,0.697
200,Georgia,Commonwealth of Independent States,Freedom to make life choices,2021,0.783
201,Germany,Western Europe,Freedom to make life choices,2021,0.875
202,Ghana,Sub-Saharan Africa,Freedom to make life choices,2021,0.807
203,Greece,Western Europe,Freedom to make life choices,2021,0.582
204,Guatemala,Latin America and Caribbean,Freedom to make life choices,2021,0.906
205,Guinea,Sub-Saharan Africa,Freedom to make life choices,2021,0.697
206,Haiti,Latin America and Caribbean,Freedom to make life choices,2021,0.593
207,Honduras,Latin America and Caribbean,Freedom to make life choices,2021,0.857
208,Hong Kong S.A.R. of China,East Asia,Freedom to make life choices,2021,0.717
209,Hungary,Central and Eastern Europe,Freedom to make life choices,2021,0.755
210,Iceland,Western Europe,Freedom to make life choices,2021,0.955
211,India,South Asia,Freedom to make life choices,2021,0.893
212,Indonesia,Southeast Asia,Freedom to make life choices,2021,0.873
213,Iran,Middle East and North Africa,Freedom to make life choices,2021,0.608
214,Iraq,Middle East and North Africa,Freedom to make life choices,2021,0.63
215,Ireland,Western Europe,Freedom to make life choices,2021,0.879
216,Israel,Middle East and North Africa,Freedom to make life choices,2021,0.8
217,Italy,Western Europe,Freedom to make life choices,2021,0.693
218,Ivory Coast,Sub-Saharan Africa,Freedom to make life choices,2021,0.741
219,Jamaica,Latin America and Caribbean,Freedom to make life choices,2021,0.89
220,Japan,East Asia,Freedom to make life choices,2021,0.796
221,Jordan,Middle East and North Africa,Freedom to make life choices,2021,0.755
222,Kazakhstan,Commonwealth of Independent States,Freedom to make life choices,2021,0.853
223,Kenya,Sub-Saharan Africa,Freedom to make life choices,2021,0.779
224,Kosovo,Central and Eastern Europe,Freedom to make life choices,2021,0.869
225,Kuwait,Middle East and North Africa,Freedom to make life choices,2021,0.867
226,Kyrgyzstan,Commonwealth of Independent States,Freedom to make life choices,2021,0.935
227,Laos,Southeast Asia,Freedom to make life choices,2021,0.91
228,Latvia,Central and Eastern Europe,Freedom to make life choices,2021,0.715
229,Lebanon,Middle East and North Africa,Freedom to make life choices,2021,0.525
230,Lesotho,Sub-Saharan Africa,Freedom to make life choices,2021,0.715
231,Liberia,Sub-Saharan Africa,Freedom to make life choices,2021,0.735
232,Libya,Middle East and North Africa,Freedom to make life choices,2021,0.771
233,Lithuania,Central and Eastern Europe,Freedom to make life choices,2021,0.773
234,Luxembourg,Western Europe,Freedom to make life choices,2021,0.907
235,Macedonia,Central and Eastern Europe,Freedom to make life choices,2021,
236,Madagascar,Sub-Saharan Africa,Freedom to make life choices,2021,0.552
237,Malawi,Sub-Saharan Africa,Freedom to make life choices,2021,0.78
238,Malaysia,Southeast Asia,Freedom to make life choices,2021,0.895
239,Maldives,South Asia,Freedom to make life choices,2021,0.854
240,Mali,Sub-Saharan Africa,Freedom to make life choices,2021,0.697
241,Malta,Western Europe,Freedom to make life choices,2021,0.927
242,Mauritania,Sub-Saharan Africa,Freedom to make life choices,2021,0.561
243,Mauritius,Sub-Saharan Africa,Freedom to make life choices,2021,0.867
244,Mexico,Latin America and Caribbean,Freedom to make life choices,2021,0.862
245,Moldova,Commonwealth of Independent States,Freedom to make life choices,2021,0.822
246,Mongolia,East Asia,Freedom to make life choices,2021,0.708
247,Montenegro,Central and Eastern Europe,Freedom to make life choices,2021,0.708
248,Morocco,Middle East and North Africa,Freedom to make life choices,2021,0.774
249,Mozambique,Sub-Saharan Africa,Freedom to make life choices,2021,0.882
250,Myanmar,Southeast Asia,Freedom to make life choices,2021,0.876
251,Namibia,Sub-Saharan Africa,Freedom to make life choices,2021,0.719
252,Nepal,South Asia,Freedom to make life choices,2021,0.782
253,Netherlands,Western Europe,Freedom to make life choices,2021,0.913
254,New Zealand,North America and ANZ,Freedom to make life choices,2021,0.929
255,Nicaragua,Latin America and Caribbean,Freedom to make life choices,2021,0.836
256,Niger,Sub-Saharan Africa,Freedom to make life choices,2021,0.806
257,Nigeria,Sub-Saharan Africa,Freedom to make life choices,2021,0.737
258,North Cyprus,Western Europe,Freedom to make life choices,2021,0.795
259,North Macedonia,Central and Eastern Europe,Freedom to make life choices,2021,0.751
260,Norway,Western Europe,Freedom to make life choices,2021,0.96
261,Pakistan,South Asia,Freedom to make life choices,2021,0.726
262,Palestinian Territories,Middle East and North Africa,Freedom to make life choices,2021,0.653
263,Panama,Latin America and Caribbean,Freedom to make life choices,2021,0.872
264,Paraguay,Latin America and Caribbean,Freedom to make life choices,2021,0.876
265,Peru,Latin America and Caribbean,Freedom to make life choices,2021,0.822
266,Philippines,Southeast Asia,Freedom to make life choices,2021,0.917
267,Poland,Central and Eastern Europe,Freedom to make life choices,2021,0.841
268,Portugal,Western Europe,Freedom to make life choices,2021,0.892
269,Romania,Central and Eastern Europe,Freedom to make life choices,2021,0.845
270,Russia,Commonwealth of Independent States,Freedom to make life choices,2021,0.718
271,Rwanda,Sub-Saharan Africa,Freedom to make life choices,2021,0.897
272,Saudi Arabia,Middle East and North Africa,Freedom to make life choices,2021,0.877
273,Senegal,Sub-Saharan Africa,Freedom to make life choices,2021,0.695
274,Serbia,Central and Eastern Europe,Freedom to make life choices,2021,0.778
275,Sierra Leone,Sub-Saharan Africa,Freedom to make life choices,2021,0.717
276,Singapore,Southeast Asia,Freedom to make life choices,2021,0.927
277,Slovakia,Central and Eastern Europe,Freedom to make life choices,2021,0.766
278,Slovenia,Central and Eastern Europe,Freedom to make life choices,2021,0.949
279,South Africa,Sub-Saharan Africa,Freedom to make life choices,2021,0.749
280,South Korea,East Asia,Freedom to make life choices,2021,0.672
281,South Sudan,Sub-Saharan Africa,Freedom to make life choices,2021,
282,Spain,Western Europe,Freedom to make life choices,2021,0.761
283,Sri Lanka,South Asia,Freedom to make life choices,2021,0.841
284,Swaziland,Sub-Saharan Africa,Freedom to make life choices,2021,0.647
285,Sweden,Western Europe,Freedom to make life choices,2021,0.945
286,Switzerland,Western Europe,Freedom to make life choices,2021,0.919
287,Taiwan Province of China,East Asia,Freedom to make life choices,2021,0.784
288,Tajikistan,Commonwealth of Independent States,Freedom to make life choices,2021,0.832
289,Tanzania,Sub-Saharan Africa,Freedom to make life choices,2021,0.833
290,Thailand,Southeast Asia,Freedom to make life choices,2021,0.884
291,Togo,Sub-Saharan Africa,Freedom to make life choices,2021,0.619
292,Trinidad and Tobago,Latin America and Caribbean,Freedom to make life choices,2021,
293,Tunisia,Middle East and North Africa,Freedom to make life choices,2021,0.656
294,Turkey,Middle East and North Africa,Freedom to make life choices,2021,0.576
295,Turkmenistan,Commonwealth of Independent States,Freedom to make life choices,2021,0.877
296,Uganda,Sub-Saharan Africa,Freedom to make life choices,2021,0.709
297,Ukraine,Commonwealth of Independent States,Freedom to make life choices,2021,0.724
298,United Arab Emirates,Middle East and North Africa,Freedom to make life choices,2021,0.932
299,United Kingdom,Western Europe,Freedom to make life choices,2021,0.859
300,United States,North America and ANZ,Freedom to make life choices,2021,0.837
301,Uruguay,Latin America and Caribbean,Freedom to make life choices,2021,0.896
302,Uzbekistan,Commonwealth of Independent States,Freedom to make life choices,2021,0.97
303,Venezuela,Latin America and Caribbean,Freedom to make life choices,2021,0.615
304,Vietnam,Southeast Asia,Freedom to make life choices,2021,0.94
305,Yemen,Middle East and North Africa,Freedom to make life choices,2021,0.602
306,Zambia,Sub-Saharan Africa,Freedom to make life choices,2021,0.782
307,Zimbabwe,Sub-Saharan Africa,Freedom to make life choices,2021,0.677
308,Afghanistan,South Asia,Freedom to make life choices,% Change,-3.6747349776128284
309,Albania,Central and Eastern Europe,Freedom to make life choices,% Change,0.3843731715338183
310,Algeria,Middle East and North Africa,Freedom to make life choices,% Change,2.8694337705679236
311,Argentina,Latin America and Caribbean,Freedom to make life choices,% Change,-0.3768848326420494
312,Armenia,Commonwealth of Independent States,Freedom to make life choices,% Change,15.867884286729819
313,Australia,North America and ANZ,Freedom to make life choices,% Change,-0.156400301690213
314,Austria,Western Europe,Freedom to make life choices,% Change,0.8900675090775538
315,Azerbaijan,Commonwealth of Independent States,Freedom to make life choices,% Change,3.453871425421374
316,Bahrain,Middle East and North Africa,Freedom to make life choices,% Change,2.113385544183346
317,Bangladesh,South Asia,Freedom to make life choices,% Change,-2.623177267155329
318,Belarus,Commonwealth of Independent States,Freedom to make life choices,% Change,1.695486393060226
319,Belgium,Western Europe,Freedom to make life choices,% Change,-3.758940172209769
320,Benin,Sub-Saharan Africa,Freedom to make life choices,% Change,2.967618861558376
321,Bolivia,Latin America and Caribbean,Freedom to make life choices,% Change,-0.09970928136278082
322,Bosnia and Herzegovina,Central and Eastern Europe,Freedom to make life choices,% Change,8.38981640275803
323,Botswana,Sub-Saharan Africa,Freedom to make life choices,% Change,0.32531408422375757
324,Brazil,Latin America and Caribbean,Freedom to make life choices,% Change,0.5245271050240189
325,Bulgaria,Central and Eastern Europe,Freedom to make life choices,% Change,5.746523331763291
326,Burkina Faso,Sub-Saharan Africa,Freedom to make life choices,% Change,4.4227805955543085
327,Burundi,Sub-Saharan Africa,Freedom to make life choices,% Change,-0.055915043466154266
328,Cambodia,Southeast Asia,Freedom to make life choices,% Change,-0.07342238143899546
329,Cameroon,Sub-Saharan Africa,Freedom to make life choices,% Change,-4.200475991795313
330,Canada,North America and ANZ,Freedom to make life choices,% Change,-2.0251593373132084
331,Central African Republic,Sub-Saharan Africa,Freedom to make life choices,% Change,
332,Chad,Sub-Saharan Africa,Freedom to make life choices,% Change,-1.4141280072470914
333,Chile,Latin America and Caribbean,Freedom to make life choices,% Change,-0.38881828614497477
334,China,East Asia,Freedom to make life choices,% Change,0.6101261819370752
335,Colombia,Latin America and Caribbean,Freedom to make life choices,% Change,0.09807554429745696
336,Comoros,Sub-Saharan Africa,Freedom to make life choices,% Change,0.07074216244258483
337,Congo (Brazzaville),Sub-Saharan Africa,Freedom to make life choices,% Change,-3.345835357148699
338,Congo (Kinshasa),Sub-Saharan Africa,Freedom to make life choices,% Change,
339,Costa Rica,Latin America and Caribbean,Freedom to make life choices,% Change,-0.07905244695840533
340,Croatia,Central and Eastern Europe,Freedom to make life choices,% Change,5.47832557992798
341,Cyprus,Western Europe,Freedom to make life choices,% Change,-2.161712094947776
342,Czech Republic,Central and Eastern Europe,Freedom to make life choices,% Change,4.821117302363201
343,Denmark,Western Europe,Freedom to make life choices,% Change,-0.5722109200830338
344,Dominican Republic,Latin America and Caribbean,Freedom to make life choices,% Change,-0.7160877568745495
345,Ecuador,Latin America and Caribbean,Freedom to make life choices,% Change,-2.073546025722377
346,Egypt,Middle East and North Africa,Freedom to make life choices,% Change,5.738065283514427
347,El Salvador,Latin America and Caribbean,Freedom to make life choices,% Change,6.499687565536509
348,Estonia,Central and Eastern Europe,Freedom to make life choices,% Change,3.565059108703604
349,Ethiopia,Sub-Saharan Africa,Freedom to make life choices,% Change,1.5125374834538423
350,Finland,Western Europe,Freedom to make life choices,% Change,-0.018142018927810487
351,France,Western Europe,Freedom to make life choices,% Change,-0.4200826061207063
352,Gabon,Sub-Saharan Africa,Freedom to make life choices,% Change,3.713067421995167
353,Gambia,Sub-Saharan Africa,Freedom to make life choices,% Change,-4.932486939490027
354,Georgia,Commonwealth of Independent States,Freedom to make life choices,% Change,-2.3254189612064016
355,Germany,Western Europe,Freedom to make life choices,% Change,0.8795448866486403
356,Ghana,Sub-Saharan Africa,Freedom to make life choices,% Change,1.5354211550743622
357,Greece,Western Europe,Freedom to make life choices,% Change,7.509974611962821
358,Guatemala,Latin America and Caribbean,Freedom to make life choices,% Change,-0.23647841648749457
359,Guinea,Sub-Saharan Africa,Freedom to make life choices,% Change,-1.3930563683947723
360,Haiti,Latin America and Caribbean,Freedom to make life choices,% Change,10.258878978789015
361,Honduras,Latin America and Caribbean,Freedom to make life choices,% Change,-1.5625099948654835
362,Hong Kong S.A.R. of China,East Asia,Freedom to make life choices,% Change,-8.057331508770188
363,Hungary,Central and Eastern Europe,Freedom to make life choices,% Change,5.012127739361484
364,Iceland,Western Europe,Freedom to make life choices,% Change,0.6437110635696677
365,India,South Asia,Freedom to make life choices,% Change,1.3109304257327736
366,Indonesia,Southeast Asia,Freedom to make life choices,% Change,0.27401234982317185
367,Iran,Middle East and North Africa,Freedom to make life choices,% Change,-6.154487784541802
368,Iraq,Middle East and North Africa,Freedom to make life choices,% Change,-0.5026424879348966
369,Ireland,Western Europe,Freedom to make life choices,% Change,-0.900014679763121
370,Israel,Middle East and North Africa,Freedom to make life choices,% Change,7.011874417477516
371,Italy,Western Europe,Freedom to make life choices,% Change,4.265090667974977
372,Ivory Coast,Sub-Saharan Africa,Freedom to make life choices,% Change,1.7983933595069865
373,Jamaica,Latin America and Caribbean,Freedom to make life choices,% Change,3.72131980517369
374,Japan,East Asia,Freedom to make life choices,% Change,-1.7237092239184335
375,Jordan,Middle East and North Africa,Freedom to make life choices,% Change,0.5262261673122042
376,Kazakhstan,Commonwealth of Independent States,Freedom to make life choices,% Change,5.1007841544863055
377,Kenya,Sub-Saharan Africa,Freedom to make life choices,% Change,-6.116023784670177
378,Kosovo,Central and Eastern Europe,Freedom to make life choices,% Change,0.8663705063658999
379,Kuwait,Middle East and North Africa,Freedom to make life choices,% Change,-0.6151643917802649
380,Kyrgyzstan,Commonwealth of Independent States,Freedom to make life choices,% Change,2.8178815136916358
381,Laos,Southeast Asia,Freedom to make life choices,% Change,0.30714168032907563
382,Latvia,Central and Eastern Europe,Freedom to make life choices,% Change,6.519650995499586
